city,latitude,longitude,temperature,humidity,cloudiness,wind speed,country,date
nova petropolis,-29.3764,-51.1144,64.99,99,50,3.96,BR,1611979122
pau dos ferros,-6.1125,-38.2063,77.04,78,100,1.97,BR,1611979122
paulo ramos,-4.2167,-45.1833,73.35,96,95,1.83,BR,1611979122
petropolis,59.8944,30.2642,30.99,93,90,8.95,RU,1611979018
riachao das neves,-11.7461,-44.91,74.82,60,61,1.81,BR,1611979122
rio novo,-21.4575,-43.1253,66.99,89,82,1.99,BR,1611979123
ruy barbosa,-12.2839,-40.4939,68.56,94,95,3.11,BR,1611979123
santa cruz das palmeiras,-21.8269,-47.2486,68.13,82,32,1.92,BR,1611979123
sao cristovao,-11.0147,-37.2064,78.8,83,75,6.91,BR,1611979123
sao joao,-8.8756,-36.3667,68.83,92,100,7.2,BR,1611979123
sao jose do calcado,-21.0253,-41.6544,70.9,80,36,4.52,BR,1611979123
simao dias,-10.7383,-37.8111,70.36,94,99,4.36,BR,1611979123
tabatinga,-4.2525,-69.9381,73.4,100,40,0.65,BR,1611979124
tapes,-30.6733,-51.3958,74.5,89,3,6.33,BR,1611979124
timbo,-26.8233,-49.2717,73.99,99,100,1.32,BR,1611978993
torres,-29.3353,-49.7269,74.01,92,49,4.79,BR,1611978993
tubarao,-28.4667,-49.0069,72.77,93,100,2.71,BR,1611979124
urucui,-7.2294,-44.5561,75.24,82,98,2.64,BR,1611979124
valparaiso,-33.0393,-71.6273,64.99,80,100,7.94,CL,1611979124
rock sound,24.9,-76.2,68.27,69,85,16.24,BS,1611979125
letlhakane,-21.4167,25.5833,69.33,88,92,4.94,BW,1611979125
san ignacio,17.1561,-89.0714,71.6,94,90,3.33,BZ,1611979125
beausejour,50.0622,-96.5167,19.0,100,100,10.0,CA,1611979125
cardston,49.2,-113.3019,30.2,85,0,1.14,CA,1611979125
charlottetown,46.2352,-63.1267,24.01,86,90,12.66,CA,1611979125
clairmont,55.2667,-118.786,-4.0,77,20,8.05,CA,1611979125
erin,36.3184,-87.6947,35.01,55,90,6.04,US,1611979126
grand bend,43.3168,-81.7498,25.0,79,100,5.99,CA,1611979126
kindersley,51.4668,-109.1682,5.0,92,90,4.61,CA,1611979126
port alberni,49.2413,-124.8028,39.99,94,100,3.36,CA,1611979126
port elgin,46.0487,-64.0868,23.0,93,100,12.66,CA,1611979126
saint-jacques,45.9501,-73.5659,6.8,66,5,3.44,CA,1611979126
thornbury,52.2333,-2.55,43.0,88,100,8.99,GB,1611979126
gandajika,-6.75,23.95,65.91,99,100,2.17,CD,1611979127
ascona,46.1545,8.7733,43.0,87,1,8.05,CH,1611979127
burgdorf,52.4463,10.0064,30.99,93,98,4.61,DE,1611979127
naters,46.3254,7.9891,41.0,93,89,3.0,CH,1611979127
pratteln,47.5207,7.6936,46.4,81,90,9.22,CH,1611979127
romanshorn,47.5659,9.3787,46.4,81,90,14.97,CH,1611979127
anyama,5.4946,-4.0518,77.0,94,73,3.44,CI,1611978880
castro,-24.7911,-50.0119,63.45,95,100,3.49,BR,1611979128
chenghai,23.4632,116.768,62.6,48,0,8.95,CN,1611979128
hutang,31.5333,119.4833,52.0,34,4,1.99,CN,1611978845
kashi,39.4547,75.9797,24.8,54,0,8.95,CN,1611978889
yuxia,34.0615,108.6291,48.99,23,0,4.47,CN,1611979129
zhaoqing,23.0512,112.4597,69.01,99,0,5.93,CN,1611979129
zhifang,30.35,114.3167,50.0,46,0,2.24,CN,1611979129
monitos,8.25,-76.05,74.39,86,100,6.8,CO,1611979129
paipa,5.7801,-73.1171,50.49,86,74,1.86,CO,1611979129
paramo,43.1007,-6.0423,57.99,67,75,13.8,ES,1611979129
santa rosa de osos,6.6474,-75.4603,57.99,100,40,4.61,CO,1611979129
yolombo,6.5984,-75.0114,57.2,100,40,4.61,CO,1611979130
zipaquira,5.0221,-74.0048,51.8,82,20,6.91,CO,1611979130
san antonio de los banos,22.8911,-82.4992,59.0,88,20,2.3,CU,1611979130
santo domingo,18.5001,-69.9886,73.99,94,75,4.61,DO,1611979130
chropyne,49.3564,17.3645,36.0,91,91,1.99,CZ,1611979130
hlubocky,49.6178,17.3944,32.0,98,93,7.11,CZ,1611979130
kralupy nad vltavou,50.2411,14.3115,44.01,81,20,21.85,CZ,1611979130
lom,43.8139,23.2361,40.98,96,100,5.14,BG,1611979131
mikulasovice,50.9651,14.3637,35.01,91,99,3.0,CZ,1611979131
milovice,50.226,14.8886,44.01,75,75,18.41,CZ,1611979131
nechanice,50.2374,15.6328,41.0,87,90,13.8,CZ,1611979131
opava,49.9387,17.9026,36.0,94,90,9.71,CZ,1611978962
sobeslav,49.2599,14.7186,41.0,82,91,5.01,CZ,1611979131
zabreh,49.8826,16.8722,39.0,81,87,1.01,CZ,1611979131
bad bevensen,53.0833,10.5833,32.0,93,75,6.91,DE,1611979132
boblingen,48.6833,9.0167,42.01,87,40,6.91,DE,1611979132
brilon,51.4,8.5833,33.01,77,99,18.01,DE,1611979132
ebersberg,48.0771,11.9706,41.0,89,94,10.0,DE,1611979132
forchheim,49.7175,11.0588,44.01,50,100,4.0,DE,1611979132
gaggenau,48.8,8.3333,45.0,87,90,12.66,DE,1611979132
gundelfingen,48.05,7.8667,46.0,85,98,8.99,DE,1611979132
gunzenhausen,49.1,10.75,41.0,100,90,18.41,DE,1611979133
hanau,50.1333,8.9167,45.0,83,100,8.01,DE,1611979133
kelkheim,50.1375,8.452,46.99,81,90,9.22,DE,1611979133
kirchhundem,51.1,8.1,34.0,88,99,7.74,DE,1611979133
lahstedt,52.2483,10.2325,30.0,93,90,3.44,DE,1611979133
lauf,48.65,8.1333,46.0,87,90,12.66,DE,1611979133
lemgo,52.0333,8.9,30.99,93,99,8.05,DE,1611979133
minden,52.2833,8.9167,30.99,93,97,8.05,DE,1611979133
neufahrn,48.25,12.4333,42.01,91,99,3.0,DE,1611979134
riesa,51.3,13.3,37.99,93,75,13.8,DE,1611979134
stockach,47.85,9.0167,44.01,85,97,9.78,DE,1611979134
sulzbach,49.3,7.0667,45.0,93,75,16.11,DE,1611979134
werdohl,51.2667,7.7667,34.0,96,100,6.98,DE,1611979134
aulum,56.2649,8.787,23.0,93,2,2.3,DK,1611979134
cabral,18.25,-71.2167,70.86,75,1,4.0,DO,1611979135
naranjito,-2.2167,-79.4833,80.6,78,75,6.91,EC,1611979135
kostivere,59.427,25.0962,24.8,86,90,10.36,EE,1611979135
rakke,58.9817,26.2544,25.21,98,100,7.92,EE,1611979135
dekernes,31.0876,31.595,53.6,71,40,17.27,EG,1611979136
cieza,38.24,-1.4199,57.0,57,19,2.04,ES,1611978902
la orotava,28.3908,-16.5231,60.8,48,1,10.36,ES,1611978901
laredo,27.5064,-99.5075,64.4,72,1,11.5,US,1611979063
mazarron,37.5992,-1.3149,55.99,82,0,4.61,ES,1611979136
orihuela,38.0848,-0.944,57.99,62,0,4.0,ES,1611978900
palencia,42.4167,-4.5,46.99,80,100,14.0,ES,1611979136
salobrena,36.7428,-3.5872,55.0,74,38,9.51,ES,1611979137
torrevieja,37.9787,-0.6822,57.99,64,5,5.17,ES,1611978899
huruta,8.15,39.35,52.16,50,9,4.09,ET,1611979137
sebeta,8.9167,38.6167,50.63,52,39,2.59,ET,1611979137
sandur,15.1,76.55,77.79,41,14,9.44,IN,1611978898
arles,43.6768,4.6303,46.4,76,0,2.3,FR,1611978960
beziers,43.3476,3.219,46.99,93,0,6.91,FR,1611979138
bures-sur-yvette,48.6998,2.1706,48.0,100,90,10.36,FR,1611979138
carcassonne,43.25,2.1667,48.2,100,20,4.61,FR,1611979138
courbevoie,48.8967,2.2567,48.2,93,90,8.05,FR,1611979138
fleury-les-aubrais,47.9333,1.9167,48.2,93,90,13.8,FR,1611979138
le chambon-feugerolles,45.3969,4.3259,42.8,81,0,6.91,FR,1611979139
le creusot,46.8071,4.4163,46.4,76,100,10.36,FR,1611979139
lingolsheim,48.5575,7.6825,45.0,81,90,11.5,FR,1611979139
marignane,43.416,5.2145,46.99,87,0,4.61,FR,1611978955
maromme,49.4793,1.0238,46.0,100,90,9.22,FR,1611979139
oyonnax,46.2592,5.6573,45.0,93,0,1.14,FR,1611979139
plan-de-cuques,43.3475,5.464,46.99,75,69,7.11,FR,1611979139
saint-jean-de-braye,47.913,1.9771,48.2,93,90,13.8,FR,1611979140
soisy-sous-montmorency,48.9881,2.3016,48.2,93,90,6.91,FR,1611979140
soyaux,45.65,0.2,51.01,100,90,6.91,FR,1611979140
aviemore,57.1955,-3.8259,33.01,100,20,1.14,GB,1611979140
bideford,51.0179,-4.2046,48.99,94,100,7.0,GB,1611979140
buckie,57.6757,-2.9624,32.0,86,40,5.75,GB,1611979140
cardiff,51.48,-3.18,44.01,100,90,16.11,GB,1611979140
carmunnock,55.7906,-4.2358,35.01,93,20,13.8,GB,1611979141
creetown,54.9015,-4.3792,35.6,80,100,14.97,GB,1611979141
fenwick,53.6387,-1.0976,37.4,87,90,6.91,GB,1611979141
harthill,55.8667,-3.75,37.99,79,94,11.12,GB,1611979141
locharbriggs,55.1034,-3.5844,35.01,100,75,14.97,GB,1611979141
lochwinnoch,55.7952,-4.6303,34.0,93,20,13.8,GB,1611979141
matlock,53.1384,-1.5556,37.0,93,100,8.01,GB,1611979141
sidmouth,50.6909,-3.2397,48.0,100,75,14.97,GB,1611979141
solihull,52.4143,-1.7809,41.0,100,90,12.66,GB,1611978911
watford,51.6553,-0.396,46.0,93,75,3.44,GB,1611979142
sainte-anne,16.2333,-61.3667,73.4,88,90,8.43,GP,1611979142
aliartos,38.3667,23.1,51.01,87,20,6.31,GR,1611979142
kala nera,39.3063,23.12,55.0,93,40,13.8,GR,1611979142
katerini,40.2719,22.5025,45.0,97,76,5.21,GR,1611979142
khalki,39.5667,22.5333,46.4,81,75,10.36,GR,1611979142
mesopotamia,33.0,44.0,42.8,81,0,3.44,IQ,1611979144
nea playia,40.2667,23.2,45.0,100,95,3.0,GR,1611979144
rizoma,39.665,21.735,46.4,81,75,10.36,GR,1611979144
vamvakou,39.3333,22.4167,52.0,93,40,13.8,GR,1611979144
la libertad,-2.2333,-80.9,78.87,79,45,5.41,EC,1611979144
mazatenango,14.5333,-91.5,64.0,89,7,4.18,GT,1611979145
ocos,14.5094,-92.1933,75.2,100,1,2.82,GT,1611979145
san jose,37.3394,-121.895,48.2,71,40,3.44,US,1611979020
santa eulalia,-11.85,-76.6833,75.0,83,0,11.5,PE,1611979145
ayapa,18.1833,-93.1667,71.6,94,90,5.75,MX,1611979145
bejuco,8.6,-79.8833,80.01,97,72,16.2,PA,1611979145
concepcion de guasistagua,14.6,-87.65,66.16,84,65,4.79,HN,1611979145
concordia,-31.393,-58.0209,76.68,61,94,6.02,AR,1611979146
intibuca,14.3167,-88.1667,53.44,100,70,8.66,HN,1611979146
quebrada seca,15.6667,-87.95,71.01,97,81,0.31,HN,1611979146
trinidad,-14.8333,-64.9,74.19,89,100,4.38,BO,1611979042
zopilotepe,14.6,-86.2667,71.6,68,20,2.55,HN,1611979147
karlovac,45.4872,15.5478,37.99,100,90,5.75,HR,1611979147
bolcske,46.741,18.9674,41.0,87,0,6.91,HU,1611979147
kotaj,48.05,21.7167,39.2,93,87,10.36,HU,1611979147
rimoc,48.0369,19.5301,42.8,75,20,11.5,HU,1611979147
bulakamba,-6.8748,108.9559,82.74,75,100,17.54,ID,1611979147
ciranjang,-6.7865,107.2832,80.67,72,100,4.85,ID,1611979148
kebomas,-7.1667,112.6333,82.4,78,75,17.27,ID,1611979148
ngaglik,-6.84,111.3671,78.93,86,100,14.5,ID,1611979148
purwokerto,-7.4214,109.2344,86.07,62,100,2.24,ID,1611979148
bet shemesh,31.7496,34.9888,48.0,100,74,1.99,IL,1611979148
ahmadnagar,19.0833,74.7333,71.94,28,49,10.74,IN,1611979149
ajra,16.1167,74.2,64.4,63,0,4.56,IN,1611979149
alampur,15.8833,78.15,78.94,42,0,6.33,IN,1611979149
amarpur,25.0333,86.9,61.09,39,0,10.11,IN,1611979149
amarpur,25.0333,86.9,61.09,39,0,10.11,IN,1611979149
annavasal,10.4667,78.7,77.0,78,20,10.36,IN,1611979150
baheri,28.7833,79.5,53.82,42,0,4.34,IN,1611979150
bakhtiyarpur,25.4667,85.5167,46.4,87,90,5.75,IN,1611979150
belgaum,15.8667,74.5,64.4,63,1,6.02,IN,1611979150
bilsi,28.1333,78.9167,55.13,42,0,9.57,IN,1611979150
chichli,22.8333,78.8167,62.64,29,0,4.47,IN,1611979150
dehra dun,30.3167,78.0333,59.49,28,0,0.54,IN,1611979150
dhuri,30.3667,75.8667,54.25,41,0,5.95,IN,1611979151
gangakher,18.95,76.75,68.0,52,20,3.44,IN,1611979151
gaya,24.7833,85.0,50.0,87,75,6.91,IN,1611979151
gidam,18.9833,81.4,80.96,45,0,0.58,IN,1611979151
gumla,23.05,84.55,63.73,27,0,5.17,IN,1611979151
hiranagar,32.45,75.2667,54.19,41,0,1.28,IN,1611979151
jabalpur,23.167,79.9501,55.4,71,0,2.3,IN,1611979141
jalpaiguri,26.5167,88.7333,66.02,40,0,3.22,IN,1611978979
jamnagar,22.4667,70.0667,65.35,34,0,10.13,IN,1611979152
jamui,24.9167,86.2167,60.98,37,0,10.22,IN,1611979152
jhinjhak,26.5667,79.7333,57.27,38,0,7.7,IN,1611979152
kanpur,26.4667,80.35,46.4,93,90,2.3,IN,1611979043
kareli,22.9167,79.0667,60.84,30,0,3.87,IN,1611979152
karimganj,24.8667,92.35,71.98,43,0,2.8,IN,1611979085
kasganj,27.8167,78.65,56.59,39,0,8.7,IN,1611979153
kharagpur,22.3333,87.3333,69.78,30,12,9.46,IN,1611979153
lingsugur,16.1667,76.5167,77.05,46,0,11.54,IN,1611979153
robertsganj,24.7,83.0667,58.51,36,0,6.93,IN,1611979153
sabrum,23.0,91.7319,76.68,32,0,3.27,IN,1611979153
siddapur,14.3333,74.8833,78.21,50,4,7.94,IN,1611979154
siddipet,18.1,78.85,75.42,58,23,3.78,IN,1611979154
sikar,27.6167,75.15,61.97,27,0,2.84,IN,1611979154
sillod,20.3,75.65,62.6,55,91,8.34,IN,1611979154
surajgarh,28.3124,75.7347,60.96,29,0,3.91,IN,1611979154
tezu,27.9167,96.1667,69.85,29,77,3.6,IN,1611979154
venkatagiri,13.9667,79.5833,73.4,73,40,3.6,IN,1611979155
visakhapatnam,17.69,83.2093,78.8,73,75,3.44,IN,1611978949
vyara,21.1167,73.4,69.8,40,41,13.8,IN,1611979155
acireale,37.6125,15.1663,60.01,77,0,5.75,IT,1611979155
angri,40.7427,14.5714,55.0,100,9,5.35,IT,1611979155
avellino,40.9144,14.7887,52.0,40,15,1.59,IT,1611979155
cabras,39.93,8.5314,48.99,70,38,14.0,IT,1611979155
campolongo maggiore,45.3211,12.0467,32.0,92,24,1.01,IT,1611979156
castiglione del lago,43.1271,12.0453,46.99,85,22,3.51,IT,1611979156
finale emilia,44.8346,11.2939,46.0,88,13,4.52,IT,1611979156
pontassieve,43.7737,11.4282,46.4,93,90,3.44,IT,1611979156
san giuliano milanese,45.3957,9.2876,42.01,81,0,2.3,IT,1611978972
san prisco,41.0871,14.2782,53.6,76,0,1.19,IT,1611979156
troina,37.7854,14.5985,60.01,67,0,17.27,IT,1611979156
umbertide,43.3055,12.3366,48.0,100,75,5.75,IT,1611979157
vercelli,45.3231,8.4153,41.0,86,0,2.3,IT,1611979157
daito,34.7,135.6167,46.99,52,20,12.66,JP,1611979157
ena,35.4498,137.4128,41.0,56,20,10.36,JP,1611979157
kushiro,42.975,144.3747,30.2,74,75,10.36,JP,1611978895
nakatsugawa,35.4833,137.5,39.0,39,0,11.99,JP,1611979157
sunagawa,43.4864,141.9056,30.2,80,75,9.22,JP,1611979157
takehara,34.3383,132.9167,39.2,48,75,12.66,JP,1611979158
yamada,39.4667,141.95,32.81,82,1,25.41,JP,1611979002
ayagoz,47.9714,80.4392,15.26,90,0,9.93,KZ,1611979158
stepnogorsk,52.3544,71.8869,15.66,89,40,7.29,KZ,1611979158
mafeteng,-29.823,27.2374,59.18,67,0,4.5,LS,1611979158
bech-kleinmacher,49.5308,6.355,43.0,93,75,16.11,LU,1611979158
diekirch,49.8678,6.1558,43.0,95,100,1.01,LU,1611979158
greiveldange,49.5839,6.3592,43.0,93,75,16.11,LU,1611979158
ogre,56.8162,24.614,28.4,100,90,9.22,LV,1611979159
murtino,41.4153,22.7267,39.99,91,100,6.02,MK,1611979159
orizari,41.9228,22.4469,39.99,93,90,1.23,MK,1611979159
kimparana,12.8347,-4.9244,68.99,22,30,8.23,ML,1611979159
angangueo,19.6194,-100.2853,57.99,71,100,1.95,MX,1611979160
cahuacan,19.6392,-99.4161,64.4,61,20,0.36,MX,1611979161
calpulalpan,19.5833,-98.5833,64.4,27,40,3.22,MX,1611979161
dzan,20.3833,-89.4667,69.8,68,1,6.91,MX,1611979161
el higo,21.7667,-98.4667,66.0,81,100,2.71,MX,1611979161
ixhuatan,16.3569,-94.4825,74.5,70,30,13.51,MX,1611979161
melchor ocampo,19.6997,-99.1475,64.4,27,40,3.49,MX,1611979161
moctezuma,29.8,-109.6667,54.86,55,0,5.46,MX,1611979161
sacalum,20.4833,-89.5833,69.8,68,1,6.91,MX,1611979162
santa maria del oro,25.9333,-105.3667,58.8,49,46,9.22,MX,1611979162
tenango,18.65,-98.1833,66.49,55,84,6.55,MX,1611979162
texcalyacac,19.1314,-99.5039,48.2,61,20,0.69,MX,1611979162
tezontepec,19.8833,-98.8167,64.4,27,40,0.81,MX,1611979163
tierranueva,21.6833,-100.5667,53.4,72,96,3.71,MX,1611979163
tijuana,32.5333,-117.0167,57.2,100,75,3.53,MX,1611979163
bukit baru,-3.0118,104.7233,82.4,78,40,12.66,ID,1611979163
ankpa,7.3706,7.6253,67.71,48,12,3.33,NG,1611979163
olupona,7.6,4.1833,73.72,92,94,1.5,NG,1611979163
el viejo,12.6633,-87.1672,76.53,48,13,8.68,NI,1611979019
eibergen,52.1,6.6486,33.01,89,100,3.0,NL,1611979164
geldermalsen,51.8667,5.2833,34.0,85,100,5.01,NL,1611979164
harlingen,26.1906,-97.6961,64.0,82,1,6.91,US,1611979164
soest,51.5756,8.1062,33.01,95,100,3.0,DE,1611979164
tholen,51.5317,4.2208,35.6,87,90,13.8,NL,1611979164
dale,38.1689,-86.99,32.0,74,1,6.91,US,1611979164
oksfjord,70.2396,22.3479,19.4,67,90,3.44,NO,1611979165
rena,61.1348,11.3641,6.48,87,26,3.71,NO,1611979165
storebo,60.0948,5.2271,30.99,86,75,2.3,NO,1611979165
maungatapere,-35.75,174.2,70.0,59,19,10.0,NZ,1611979165
wakefield,53.6809,-1.499,37.0,91,100,12.57,GB,1611979166
salalah,17.0151,54.0924,69.8,64,75,4.61,OM,1611979166
llano largo,7.9,-80.4333,76.57,76,71,19.08,PA,1611979166
penonome,8.5167,-80.3667,80.01,50,65,3.0,PA,1611979168
mala,-12.6581,-76.6308,71.85,71,99,5.61,PE,1611979168
puquio,-14.7,-74.1333,49.39,66,94,1.03,PE,1611979168
san jose de sisa,-6.6167,-76.6915,73.2,77,59,2.93,PE,1611979168
santa rosa,14.3122,121.1114,84.2,54,40,17.27,PH,1611979168
yura,-16.2522,-71.6797,55.78,49,25,2.42,PE,1611979168
vairao,-17.7833,-149.2833,82.4,65,75,5.75,PF,1611979168
alayao,14.2818,122.5524,77.2,66,68,17.98,PH,1611979168
alupay,13.847,121.3072,78.84,63,57,14.34,PH,1611979169
awang,7.1531,124.2211,86.65,60,96,8.14,PH,1611979169
bagakay,8.1386,123.8044,85.08,59,99,9.42,PH,1611979169
balabac,7.9868,117.0645,82.02,75,57,20.76,PH,1611979169
barugo,11.3242,124.7383,79.0,82,100,12.66,PH,1611979169
biga,40.2281,27.2422,48.2,71,75,14.97,TR,1611979170
binay,13.5028,122.5975,79.0,63,50,20.27,PH,1611979170
buer,51.5799,7.0527,35.01,93,100,4.0,DE,1611979170
bulualto,15.22,120.9542,84.0,51,75,11.5,PH,1611979170
catubig,12.4098,125.0548,75.79,90,100,12.77,PH,1611979170
concepcion,-36.827,-73.0498,57.2,100,90,10.36,CL,1611979042
cordova,38.0,-4.8333,53.6,100,90,6.91,ES,1611979171
dimataling,7.5344,123.3738,85.86,63,50,6.87,PH,1611979171
guindulman,9.7629,124.4878,80.78,79,100,17.58,PH,1611979171
idio,11.6238,122.0979,75.97,84,100,17.98,PH,1611979171
igmaya-an,10.5499,123.2206,71.22,93,100,15.64,PH,1611979171
katangawan,6.1722,125.2214,87.8,55,40,14.97,PH,1611979171
labrador,16.0281,120.1442,81.0,57,17,13.0,PH,1611979172
lagasit,15.9934,120.794,80.04,53,57,9.82,PH,1611979172
lanat,15.8,120.6,82.4,51,75,11.5,PH,1611979172
langcangan,8.4794,123.7558,83.17,68,100,6.24,PH,1611979172
libertad,8.9442,125.5019,85.24,65,96,1.88,PH,1611979172
liozon,15.3993,119.933,81.52,54,16,1.05,PH,1611979172
luna,10.9667,123.2333,77.86,83,99,24.9,PH,1611979172
maluanluan,13.0967,121.4235,75.11,76,100,12.46,PH,1611979172
maranding,7.9248,123.7715,86.9,57,96,8.08,PH,1611978980
oslob,9.5211,123.4315,82.4,78,90,6.91,PH,1611979173
paldit,16.1667,120.5333,81.21,53,41,3.44,PH,1611979173
pamantingan,6.7044,124.4589,82.04,63,83,4.76,PH,1611979173
plaridel,14.8872,120.8572,84.2,54,40,17.27,PH,1611979173
quezon,7.7303,125.0989,80.71,73,99,9.37,PH,1611979173
san agustin,20.5333,-103.4667,66.99,45,1,4.65,MX,1611979173
san carlos,9.6612,-68.5827,71.42,75,34,4.09,VE,1611979174
san felipe,10.3399,-68.7425,70.09,89,89,4.85,VE,1611979022
san fernando,15.0286,120.6898,82.4,51,75,11.5,PH,1611979174
san jose,37.3394,-121.895,48.2,71,40,3.44,US,1611979020
san juan,-31.5375,-68.5364,82.26,26,0,10.87,AR,1611979038
san lorenzo,-25.3333,-57.5333,77.0,94,0,4.61,PY,1611979174
san luis,-33.295,-66.3356,68.0,73,75,23.02,AR,1611979174
san vicente,-26.6167,-54.1333,67.64,100,40,3.22,AR,1611978989
sugbongcogon,8.9553,124.7853,80.01,80,99,5.99,PH,1611979175
sumabnit,16.0303,120.5832,81.41,53,38,7.94,PH,1611979175
talisayan,6.9872,121.9272,87.8,58,75,9.22,PH,1611979175
taloc,10.5722,122.8967,78.66,79,100,22.62,PH,1611979175
vargas,15.5928,120.4867,82.4,51,75,11.5,PH,1611979175
chambar,25.2931,68.812,68.47,22,0,2.55,PK,1611979175
dajal,29.5577,70.3762,61.66,26,22,2.73,PK,1611979175
dina,52.9335,-110.0849,1.4,85,90,4.61,CA,1611979176
nushki,29.5542,66.0215,54.93,28,0,2.26,PK,1611979176
gdynia,54.5189,18.5319,33.01,93,75,5.75,PL,1611978964
gizycko,54.0381,21.7644,23.13,98,100,7.65,PL,1611979176
kielce,50.8703,20.6275,28.0,1,100,1.52,PL,1611979176
kwidzyn,53.7249,18.9311,25.0,91,100,4.14,PL,1611979176
makow mazowiecki,52.8649,21.1005,30.99,86,100,2.39,PL,1611979176
slupca,52.2873,17.8719,28.0,80,100,1.99,PL,1611979176
szczecinek,53.7079,16.6994,28.0,92,100,4.16,PL,1611979177
zielona gora,51.9355,15.5064,28.0,89,100,3.0,PL,1611979177
serpa,37.9458,-7.5975,55.4,94,90,10.36,PT,1611979177
union,40.6334,-74.2663,19.4,45,1,11.5,US,1611979177
alexeni,44.6833,26.7,37.99,100,100,2.3,RO,1611979177
baile tusnad,46.15,25.85,32.0,92,100,3.6,RO,1611979177
band,46.5833,24.3833,34.0,93,75,3.44,RO,1611979177
barbuletu,45.1333,25.3,39.99,76,100,2.01,RO,1611979178
biled,45.8864,20.9589,42.01,96,100,6.76,RO,1611979178
brabova,44.3667,23.4333,39.99,93,75,3.85,RO,1611979178
cajvana,47.7,25.9667,34.0,86,0,5.75,RO,1611979178
canesti,45.4,26.6,37.67,80,100,4.5,RO,1611979179
cogealac,44.55,28.5667,36.0,86,0,10.36,RO,1611979179
conop,46.1,21.8833,39.2,93,100,6.91,RO,1611979179
cotofenii din dos,44.4333,23.6167,39.99,93,75,2.57,RO,1611979179
crevenicu,44.2408,25.5886,37.99,82,100,1.21,RO,1611979179
